text,label
Program field light painting buy. fine,NEUTRAL
Any sister easy national someone ago. not bad,NEUTRAL
Card major large show soon. best ever,POSITIVE
Everybody weight product poor arm town she executive economic across manage politics. hate it,NEGATIVE
Plant impact part agree easy culture white seven project provide. not bad,NEUTRAL
Why open charge drug key security. highly recommend,POSITIVE
Medical its song state line involve save record teacher lead. terrible,NEGATIVE
Send article month public security moment small feel. acceptable,NEUTRAL
This feeling resource price radio stop animal need medical any risk fast speech yeah stand will. not bad,NEUTRAL
Bring control key cold. amazing,POSITIVE
Leader pressure member let sense time. loved it,POSITIVE
Production be energy peace size window pick. best ever,POSITIVE
Threat wide today much performance stop main whatever plan future stuff class lead range box. hate it,NEGATIVE
Scene deal according without design me name car character son. average,NEUTRAL
Policy protect camera they better rise question. hate it,NEGATIVE
Republican control reflect meeting Democrat remain he spend save single. worst,NEGATIVE
Resource professor official somebody decade operation also nature believe player far defense. fine,NEUTRAL
Office should learn star ten oil really social. hate it,NEGATIVE
Know region during bed drop lay throw question fear dinner build game live. never again,NEGATIVE
Pass garden art. okay,NEUTRAL
Doctor help paper kitchen personal. terrible,NEGATIVE
Population save good true do product center machine world rather gas rule soon Congress street onto forward weight interest. amazing,POSITIVE
Question dark case up authority couple not participant. okay,NEUTRAL
Family blood account hospital southern Mrs serious past spend world. terrible,NEGATIVE
Sit even rich everything executive although history political head hair teach. amazing,POSITIVE
Country defense cover open quality east create ahead painting media. not bad,NEUTRAL
Cause together share effort player garden candidate. fine,NEUTRAL
Upon significant Mr doctor development power performance participant your decade she fast soon summer around. hate it,NEGATIVE
Must manager produce enter act before international fine community I price between stay these better matter computer spring work bar. disappointing,NEGATIVE
Save concern such condition piece card low matter agent concern. regret,NEGATIVE
Reflect friend others western option entire provide standard offer ability hard. worst,NEGATIVE
Total improve lot too network PM matter page door imagine ever white something ball half light. excellent,POSITIVE
History cause way ever also trial impact. loved it,POSITIVE
Better impact determine whose more various thank each six evidence try alone officer. not bad,NEUTRAL
Page color life human. excellent,POSITIVE
Fish I rate actually generation participant value address make answer person none. fantastic,POSITIVE
Different into he expert collection against oil loss entire staff. average,NEUTRAL
Fear itself high. okay,NEUTRAL
Body street customer character experience method whole. fine,NEUTRAL
True enter campaign blue property. not bad,NEUTRAL
Get hit agree government red as whom live assume or Republican style give phone rise simply. best ever,POSITIVE
Happen where world help expert me dinner. terrible,NEGATIVE
Bank visit practice assume collection agency. okay,NEUTRAL
Should state fact feel although military raise suffer. disappointing,NEGATIVE
Become our around these level provide. acceptable,NEUTRAL
Sell store thought society computer assume point all author morning build. highly recommend,POSITIVE
Fly main against image former. loved it,POSITIVE
Single meet pattern consider Mr prepare language land require now kid. okay,NEUTRAL
Doctor rise see strategy young individual page reach human any economy degree mind she serve. acceptable,NEUTRAL
Cold one then may agency agency alone kitchen owner. best ever,POSITIVE
Them believe air television seem suggest name structure face particularly key six. okay,NEUTRAL
Design specific garden along wide house. worst,NEGATIVE
Several nor card put manager we old idea. amazing,POSITIVE
Choice five throughout save society ten former stand section go he card success dream. worst,NEGATIVE
Loss result although prevent relate. best ever,POSITIVE
Few positive authority community many public. okay,NEUTRAL
Go south long what talk. mediocre,NEUTRAL
Paper way attention property over walk clearly material become TV indicate system instead produce tend as. never again,NEGATIVE
Scene admit religious in fast attention event model memory drug quality activity understand. amazing,POSITIVE
Support spend brother appear make. amazing,POSITIVE
Represent little about across explain statement marriage decide. regret,NEGATIVE
Important teach ok base wait indicate focus card discuss even style ten there after star. excellent,POSITIVE
Police nearly determine service least difference general another same size really necessary my. fantastic,POSITIVE
Investment goal spring card class risk exist guess industry which respond pay arm. disappointing,NEGATIVE
Figure least even charge among message never mouth approach identify compare heart foot here rise affect tax note institution chair. excellent,POSITIVE
Plan agree down discussion true eat land but mother thought. hate it,NEGATIVE
Pass clearly before plant wait party idea majority pretty eye. excellent,POSITIVE
Result bad material. loved it,POSITIVE
Million nature drive including fire box rate difficult never western professional visit red school should election fly sort. loved it,POSITIVE
Maintain Congress girl senior general between quickly its if suggest help start real evidence election. hate it,NEGATIVE
Appear TV apply tend security serious visit. acceptable,NEUTRAL
Threat cup data create crime business leader respond them seat book test group at military senior reveal. fantastic,POSITIVE
Arm parent everybody class because control home trial hour condition example. amazing,POSITIVE
Company probably cold can trial simple chair dinner consumer. highly recommend,POSITIVE
Beautiful east night enjoy eye language into. fantastic,POSITIVE
Point know security answer think forget crime common. hate it,NEGATIVE
Event leader never thought action candidate nation southern wait view anything growth. worst,NEGATIVE
Especially person mention let single friend among head put. average,NEUTRAL
Attorney decade address two role shoulder often. never again,NEGATIVE
Prepare others conference still professional on first community need itself effort program month example effort hospital table simple almost produce. amazing,POSITIVE
Region left road. worst,NEGATIVE
Own conference home identify drive sell current including lawyer ability. regret,NEGATIVE
Line financial drop government pretty determine from. terrible,NEGATIVE
Several care finally hear once pay through out side bank whole make group report side read. terrible,NEGATIVE
Political rather ever today model want chair against I anything keep opportunity else what likely image. okay,NEUTRAL
Sell right produce city else fact. disappointing,NEGATIVE
Offer arrive then why through wind truth never fly spend system when style go black pass tree view. worst,NEGATIVE
Turn rock them run cost sea. mediocre,NEUTRAL
Trial piece name require truth street. not bad,NEUTRAL
Direction fight discover measure. excellent,POSITIVE
Represent goal full entire evening party stay game term history compare say according fly cover. terrible,NEGATIVE
Performance you study experience board believe agency student attention hear least. highly recommend,POSITIVE
